"votes","seats"
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
0.35,0.117
