"VoteShare","SeatShare","One","Five","NintyFive","NintyNine","MinShift","NCA","Inversions_Dem","Inversions_Rep"
0.618,0.8,0.678,0.718,0.888,0.924,-0.012,0.59,0,0
0.62,0.806,0.682,0.718,0.888,0.924,-0.012,0.604,0,0
0.622,0.807,0.689,0.716,0.893,0.924,-0.011,0.607,0,0
0.624,0.813,0.696,0.72,0.899,0.931,-0.012,0.616,0,0
0.626,0.816,0.698,0.729,0.902,0.933,-0.012,0.623,0,0
0.628,0.819,0.698,0.732,0.908,0.935,-0.012,0.632,0,0
0.63,0.827,0.707,0.74,0.906,0.933,-0.013,0.644,0,0
0.632,0.824,0.7,0.738,0.906,0.931,-0.013,0.642,0,0
0.634,0.831,0.711,0.745,0.915,0.946,-0.012,0.652,0,0
0.636,0.835,0.716,0.756,0.917,0.946,-0.012,0.66,0,0
0.638,0.838,0.714,0.749,0.92,0.953,-0.012,0.664,0,0
0.64,0.84,0.716,0.754,0.926,0.96,-0.012,0.67,0,0
0.642,0.844,0.729,0.756,0.924,0.953,-0.013,0.676,0,0
0.644,0.845,0.72,0.758,0.928,0.955,-0.013,0.681,0,0
0.646,0.85,0.734,0.767,0.933,0.962,-0.013,0.691,0,0
0.648,0.852,0.725,0.774,0.933,0.955,-0.014,0.698,0,0
0.65,0.858,0.736,0.772,0.937,0.966,-0.014,0.704,0,0
